total,wins,losses,exp,wr,avg_pnl,ev_r,score,min_adx,ma_mode,rsi_div_min,stop_r,target_r,max_bars,direction
213,23,189,1,10.8,-0.676,-0.676,-9.87,20,both,0,1.0,2.0,24,short
213,23,190,0,10.8,-0.676,-0.676,-9.87,20,both,0,1.0,2.0,48,short
237,25,211,1,10.5,-0.684,-0.684,-10.52,20,ema20,0,1.0,2.0,24,short
237,25,212,0,10.5,-0.684,-0.684,-10.52,20,ema20,0,1.0,2.0,48,short
231,24,206,1,10.4,-0.688,-0.688,-10.46,20,sma20,0,1.0,2.0,24,short
231,24,207,0,10.4,-0.688,-0.688,-10.46,20,sma20,0,1.0,2.0,48,short
232,23,208,1,9.9,-0.703,-0.703,-10.7,25,sma20,0,1.0,2.0,48,long
232,23,207,2,9.9,-0.703,-0.703,-10.7,25,sma20,0,1.0,2.0,24,long
195,19,176,0,9.7,-0.708,-0.708,-9.88,20,both,5,1.0,2.0,24,short
195,19,176,0,9.7,-0.708,-0.708,-9.88,20,both,5,1.0,2.0,48,short
217,21,196,0,9.7,-0.71,-0.71,-10.45,20,ema20,5,1.0,2.0,24,short
217,21,196,0,9.7,-0.71,-0.71,-10.45,20,ema20,5,1.0,2.0,48,short
580,56,523,1,9.7,-0.71,-0.71,-17.11,20,ema20,0,1.0,2.0,48,both
580,56,521,3,9.7,-0.71,-0.71,-17.11,20,ema20,0,1.0,2.0,24,both
213,48,155,10,22.5,-0.711,-0.711,-10.38,20,both,0,1.5,2.0,24,short
499,48,448,3,9.6,-0.711,-0.711,-15.89,20,both,0,1.0,2.0,24,both
213,48,157,8,22.5,-0.711,-0.711,-10.38,20,both,0,1.5,2.0,48,short
499,48,450,1,9.6,-0.711,-0.711,-15.89,20,both,0,1.0,2.0,48,both
261,25,235,1,9.6,-0.713,-0.713,-11.51,25,ema20,0,1.0,2.0,48,long
534,51,482,1,9.6,-0.713,-0.713,-16.49,20,sma20,0,1.0,2.0,48,both
