trades,w,l,e,wr,avg,ev,score,ml_c,stop,targ,bars,dir,hours
39,23,10,6,59.0,3.128,3.128,19.54,0.6,1.0,6.0,72,long,"0,4,8,12,16,20"
39,23,8,8,59.0,2.923,2.923,18.25,0.6,1.5,6.0,72,long,"0,4,8,12,16,20"
56,31,16,9,55.4,2.875,2.875,21.51,0.6,1.0,6.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
39,25,10,4,64.1,2.846,2.846,17.77,0.6,1.0,5.0,72,long,"0,4,8,12,16,20"
39,25,10,4,64.1,2.846,2.846,17.77,0.6,1.0,5.0,48,long,"0,4,8,12,16,20"
56,32,12,12,57.1,2.786,2.786,20.85,0.6,1.5,6.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
39,21,10,8,53.8,2.769,2.769,17.29,0.6,1.0,6.0,48,long,"0,4,8,12,16,20"
39,23,8,8,59.0,2.718,2.718,16.97,0.6,2.0,6.0,72,long,"0,4,8,12,16,20"
56,36,12,8,64.3,2.679,2.679,20.04,0.6,1.5,5.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
56,36,10,10,64.3,2.679,2.679,20.04,0.6,1.5,5.0,48,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
39,25,7,7,64.1,2.667,2.667,16.65,0.6,1.5,5.0,48,long,"0,4,8,12,16,20"
39,25,8,6,64.1,2.667,2.667,16.65,0.6,1.5,5.0,72,long,"0,4,8,12,16,20"
56,34,16,6,60.7,2.643,2.643,19.78,0.6,1.0,5.0,48,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
56,34,16,6,60.7,2.643,2.643,19.78,0.6,1.0,5.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
56,37,10,9,66.1,2.625,2.625,19.64,0.6,2.0,5.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
56,32,10,14,57.1,2.571,2.571,19.24,0.6,2.0,6.0,72,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
39,21,7,11,53.8,2.538,2.538,15.85,0.6,1.5,6.0,48,long,"0,4,8,12,16,20"
39,24,6,9,61.5,2.538,2.538,15.85,0.6,3.0,6.0,72,long,"0,4,8,12,16,20"
39,23,7,9,59.0,2.513,2.513,15.69,0.6,2.5,6.0,72,long,"0,4,8,12,16,20"
56,36,6,14,64.3,2.5,2.5,18.71,0.6,2.0,5.0,48,long,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
