total,w,l,e,wr,avg,ev,score,ml_c,stop,targ,bars,dir
773,79,692,2,10.2,-0.693,-0.693,-19.28,0.3,1.0,2.0,24,short
773,79,692,2,10.2,-0.693,-0.693,-19.28,0.3,1.0,2.0,48,short
1015,95,918,2,9.4,-0.719,-0.719,-22.91,0.0,1.0,2.0,24,short
1015,95,918,2,9.4,-0.719,-0.719,-22.91,0.1,1.0,2.0,24,short
1015,95,918,2,9.4,-0.719,-0.719,-22.91,0.1,1.0,2.0,48,short
1015,95,918,2,9.4,-0.719,-0.719,-22.91,0.0,1.0,2.0,48,short
401,37,364,0,9.2,-0.723,-0.723,-14.48,0.4,1.0,2.0,24,short
401,37,364,0,9.2,-0.723,-0.723,-14.48,0.4,1.0,2.0,48,short
993,91,900,2,9.2,-0.725,-0.725,-22.85,0.2,1.0,2.0,48,short
993,91,900,2,9.2,-0.725,-0.725,-22.85,0.2,1.0,2.0,24,short
2293,201,2086,6,8.8,-0.737,-0.737,-35.29,0.0,1.0,2.0,48,both
2293,201,2086,6,8.8,-0.737,-0.737,-35.29,0.1,1.0,2.0,48,both
2293,201,2078,14,8.8,-0.737,-0.737,-35.29,0.1,1.0,2.0,24,both
2293,201,2078,14,8.8,-0.737,-0.737,-35.29,0.0,1.0,2.0,24,both
1791,156,1631,4,8.7,-0.739,-0.739,-31.26,0.3,1.0,2.0,48,both
1791,156,1623,12,8.7,-0.739,-0.739,-31.26,0.3,1.0,2.0,24,both
2230,192,2024,14,8.6,-0.742,-0.742,-35.03,0.2,1.0,2.0,24,both
2230,192,2032,6,8.6,-0.742,-0.742,-35.03,0.2,1.0,2.0,48,both
1278,106,1168,4,8.3,-0.751,-0.751,-26.85,0.1,1.0,2.0,48,long
1278,106,1168,4,8.3,-0.751,-0.751,-26.85,0.0,1.0,2.0,48,long
